0.02000,0
0.04000,500
0.05000,3000
0.02500,0
0.02000,0
0.04000,4300
0.04900,8500
0.01000,0
0.02000,10099
0.04000,23942
0.06000,37788
0.08000,52455
0.09300,66295
0.10300,338639
0.11300,406364
0.12300,677275
0.13300,1000000
0.04400,0
0.03000,0
0.05000,10000
0.05500,50000
0.06000,100000
0.06500,200000
0.06900,250000
0.06990,500000
0.02200,2000
0.03900,5000
0.04800,10000
0.05200,20000
0.05550,25000
0.06600,60000
0.01000,0
0.02000,750
0.03000,2250
0.04000,3750
0.05000,5250
0.05750,7000
0.01400,0
0.03200,2400
0.05500,4800
0.06400,9600
0.06800,14400
0.07200,19200
0.07600,24000
0.07900,36000
0.08250,48000
0.09000,150000
0.10000,175000
0.11000,200000
0.05800,0
0.04950,0
0.03150,0
0.04400,0
0.04820,6000
0.05700,30000
0.06000,75000
0.03100,0
0.05250,15000
0.05700,30000
0.04500,0
0.01850,0
0.03500,12500
0.04250,50000
0.05800,0
0.06750,24500
0.07150,58050
0.02000,0
0.03000,1000
0.04000,2000
0.04750,3000
0.05000,100000
0.05250,125000
0.05500,150000
0.05750,250000
0.05000,0
0.09000,1000000
0.04250,0
0.05350,0
0.06800,30070
0.07850,98760
0.09850,183340
0.05000,10000
0.02000,1121
0.02500,2242
0.03000,3363
0.03500,4484
0.04000,5605
0.04500,6726
0.04950,7847
0.01000,0
0.02000,3600
0.03000,6300
0.04000,9700
0.05000,13000
0.06000,16800
0.06750,21600
0.02460,0
0.03510,3700
0.05010,22170
0.06640,35730
0.01400,0
0.01750,20000
0.03500,35000
0.05525,40000
0.06370,75000
0.08970,500000
0.10750,1000000
0.01700,0
0.03200,5500
0.04700,11000
0.04900,16000
0.05900,210000
0.04000,0
0.04500,8500
0.05250,11700
0.05500,13900
0.06000,80650
0.06850,215400
0.09650,1077550
0.10300,5000000
0.10900,25000000
0.04750,0
0.01100,0
0.02040,41775
0.02270,101050
0.02640,210825
0.02900,458350
0.02765,26050
0.03226,46100
0.03688,92150
0.03990,115300
0.00250,0
0.00750,1000
0.01750,2500
0.02750,3750
0.03750,4900
0.04750,7200
0.04750,0
0.06750,4050
0.08750,10200
0.09900,125000
0.03070,0
0.03750,0
0.04750,68200
0.05990,155050
0.00000,0
0.03000,3200
0.06500,16040
0.04850,0
0.03350,0
0.06600,42150
0.07600,102200
0.08750,213150
0.02000,0
0.03000,3000
0.05000,5000
0.05750,17000
0.03000,0
0.04000,10000
0.04500,25000
0.06000,40000
0.06500,60000
0.03540,0
0.04650,13810
0.05300,27630
0.07650,304170
0.04000,0
0.06000,10000
0.06500,40000
0.08500,60000
0.09250,250000
0.09750,500000
0.10750,1000000
