,,,
"State Individual Income Tax Rates and Brackets, as of January 1, 2023",,,
,Single Filer,,
State,Rates,,Brackets
(n),3.00%,>,"$3,000"
,5.00%,>,"$5,000"
,5.75%,>,"$17,000"
Washington,7.0% on capital gains income only,,
West Virginia,3.00%,>,$0
"(a, n)",4.00%,>,"$10,000"
,4.50%,>,"$25,000"
,6.00%,>,"$40,000"
,6.50%,>,"$60,000"
Wisconsin,3.54%,>,$0
"(e, n, dd, mm)",4.65%,>,"$13,810"
,5.30%,>,"$27,630"
,7.65%,>,"$304,170"
Wyoming,none,,
D.C.,4.00%,>,$0
(w),6.00%,>,"$10,000"
,6.50%,>,"$40,000"
,8.50%,>,"$60,000"
,9.25%,>,"$250,000"
,9.75%,>,"$500,000"
,10.75%,>,"$1,000,000"
